order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales,quantity,discount,profit
US-2020-146262,1/2/20,1/9/20,Standard Class,VW-21775,FUR-BO-10004695,452.45,5.00,0.50,-244.32
US-2020-104514,1/2/20,1/4/20,Second Class,CB-12535,OFF-AR-10001473,9.84,3.00,0.00,2.66
US-2020-146262,1/2/20,1/9/20,Standard Class,VW-21775,OFF-LA-10004544,23.68,2.00,0.20,8.88
US-2020-104514,1/2/20,1/4/20,Second Class,CB-12535,OFF-PA-10004285,20.04,3.00,0.00,9.62
US-2020-104514,1/2/20,1/4/20,Second Class,CB-12535,OFF-ST-10001837,85.52,2.00,0.00,22.24
US-2020-146262,1/2/20,1/9/20,Standard Class,VW-21775,TEC-AC-10000109,89.58,2.00,0.20,4.48
US-2020-146262,1/2/20,1/9/20,Standard Class,VW-21775,TEC-MA-10000864,1188.00,9.00,0.70,-950.40
US-2020-146262,1/2/20,1/9/20,Standard Class,VW-21775,TEC-PH-10002844,62.98,3.00,0.40,-14.70
US-2020-141243,1/3/20,1/8/20,Second Class,AH-10465,FUR-BO-10003272,1352.40,9.00,0.32,-437.54
US-2020-141243,1/3/20,1/8/20,Second Class,AH-10465,OFF-AR-10001246,7.06,3.00,0.20,0.79
US-2020-121097,1/3/20,1/8/20,Standard Class,SF-20965,OFF-PA-10001937,10.37,2.00,0.20,3.63
US-2020-141243,1/3/20,1/8/20,Second Class,AH-10465,TEC-AC-10003198,398.40,5.00,0.20,84.66
US-2020-104241,1/4/20,1/9/20,Standard Class,AG-10495,FUR-FU-10001473,192.22,14.00,0.00,69.20
US-2020-149811,1/4/20,1/10/20,Standard Class,CS-12250,OFF-BI-10003676,32.34,3.00,0.00,15.52
US-2020-149811,1/4/20,1/10/20,Standard Class,CS-12250,OFF-PA-10004082,39.90,5.00,0.00,19.95
US-2020-154970,1/5/20,1/10/20,Standard Class,SR-20740,FUR-CH-10003396,61.58,1.00,0.20,-6.93
US-2020-158701,1/5/20,1/10/20,Standard Class,JL-15175,OFF-AP-10004859,87.36,6.00,0.00,23.59
US-2020-108588,1/5/20,1/10/20,Standard Class,BG-11695,OFF-AR-10001615,59.52,3.00,0.00,15.48
US-2020-158701,1/5/20,1/10/20,Standard Class,JL-15175,OFF-BI-10001294,56.16,6.00,0.20,17.55
US-2020-108588,1/5/20,1/10/20,Standard Class,BG-11695,OFF-BI-10004506,13.17,2.00,0.20,4.61
US-2020-108588,1/5/20,1/10/20,Standard Class,BG-11695,OFF-EN-10000461,17.48,2.00,0.00,8.22
US-2020-149636,1/6/20,1/12/20,Standard Class,SP-20620,OFF-BI-10002764,1.94,2.00,0.70,-1.36
